filename,timestamp,file_size_bytes
pageviews-20250105-030000.gz,05-Jan-2025 04:00,43993609
pageviews-20250105-040000.gz,05-Jan-2025 04:50,42970787
pageviews-20250105-050000.gz,05-Jan-2025 06:01,42215231
pageviews-20250105-060000.gz,05-Jan-2025 07:00,42628297
pageviews-20250105-070000.gz,05-Jan-2025 08:00,44669841
pageviews-20250105-080000.gz,05-Jan-2025 08:49,47624529
pageviews-20250105-090000.gz,05-Jan-2025 09:49,51966196
pageviews-20250105-100000.gz,05-Jan-2025 11:01,61607763
pageviews-20250105-110000.gz,05-Jan-2025 12:01,66351047
pageviews-20250105-120000.gz,05-Jan-2025 13:01,67797798
pageviews-20250105-130000.gz,05-Jan-2025 14:01,69961733
pageviews-20250105-140000.gz,05-Jan-2025 15:01,71671704
pageviews-20250105-150000.gz,05-Jan-2025 16:00,72619114
pageviews-20250105-160000.gz,05-Jan-2025 17:01,73244726
pageviews-20250105-170000.gz,05-Jan-2025 18:01,73016841
pageviews-20250105-180000.gz,05-Jan-2025 19:01,71987969
pageviews-20250105-190000.gz,05-Jan-2025 20:00,70595067
pageviews-20250105-200000.gz,05-Jan-2025 21:02,70065543
pageviews-20250105-210000.gz,05-Jan-2025 22:01,69051465
pageviews-20250105-220000.gz,05-Jan-2025 23:01,67270142
pageviews-20250105-230000.gz,06-Jan-2025 00:01,63309038
pageviews-20250106-000000.gz,06-Jan-2025 01:01,57572750
pageviews-20250106-010000.gz,06-Jan-2025 02:02,52200831
pageviews-20250106-020000.gz,06-Jan-2025 03:00,49101343
pageviews-20250106-030000.gz,06-Jan-2025 04:00,47704668
pageviews-20250106-040000.gz,06-Jan-2025 05:00,46221310
pageviews-20250106-050000.gz,06-Jan-2025 06:06,45905975
pageviews-20250106-060000.gz,06-Jan-2025 07:06,46700103
pageviews-20250106-070000.gz,06-Jan-2025 08:06,49119368
pageviews-20250106-080000.gz,06-Jan-2025 09:00,52904528
pageviews-20250106-090000.gz,06-Jan-2025 10:01,56226813
pageviews-20250106-100000.gz,06-Jan-2025 11:01,58989917
pageviews-20250106-110000.gz,06-Jan-2025 12:00,61473676
pageviews-20250106-120000.gz,06-Jan-2025 13:02,63147218
pageviews-20250106-130000.gz,06-Jan-2025 14:02,65313862
pageviews-20250106-140000.gz,06-Jan-2025 15:02,67559934
pageviews-20250106-150000.gz,06-Jan-2025 16:03,69207185
pageviews-20250106-160000.gz,06-Jan-2025 17:01,69095236
pageviews-20250106-170000.gz,06-Jan-2025 18:08,68139528
pageviews-20250106-180000.gz,06-Jan-2025 19:02,67029656
pageviews-20250106-190000.gz,06-Jan-2025 20:02,66615792
pageviews-20250106-200000.gz,06-Jan-2025 21:07,66345428
pageviews-20250106-210000.gz,06-Jan-2025 22:02,65880948
pageviews-20250106-220000.gz,06-Jan-2025 23:25,64156812
pageviews-20250106-230000.gz,07-Jan-2025 00:00,58997551
pageviews-20250107-000000.gz,07-Jan-2025 01:34,52981458
pageviews-20250107-010000.gz,07-Jan-2025 02:13,48474666
pageviews-20250107-020000.gz,07-Jan-2025 02:52,46215784
pageviews-20250107-030000.gz,07-Jan-2025 04:05,44985342
pageviews-20250107-040000.gz,07-Jan-2025 05:07,43865699
pageviews-20250107-050000.gz,07-Jan-2025 05:51,43256527
pageviews-20250107-060000.gz,07-Jan-2025 07:02,45574681
pageviews-20250107-070000.gz,07-Jan-2025 08:03,48755013
pageviews-20250107-080000.gz,07-Jan-2025 09:00,53515045
pageviews-20250107-090000.gz,07-Jan-2025 10:10,56786915
pageviews-20250107-100000.gz,07-Jan-2025 11:02,58970160
pageviews-20250107-110000.gz,07-Jan-2025 12:03,60435962
pageviews-20250107-120000.gz,07-Jan-2025 18:20,62171669
pageviews-20250107-130000.gz,07-Jan-2025 14:28,66253922
pageviews-20250107-140000.gz,07-Jan-2025 15:13,68447183
pageviews-20250107-150000.gz,07-Jan-2025 16:14,68805072
pageviews-20250107-160000.gz,07-Jan-2025 17:08,69267479
pageviews-20250107-170000.gz,07-Jan-2025 18:08,68953766
pageviews-20250107-180000.gz,07-Jan-2025 19:15,67577492
pageviews-20250107-190000.gz,07-Jan-2025 20:02,67136752
pageviews-20250107-200000.gz,07-Jan-2025 21:07,67207011
pageviews-20250107-210000.gz,07-Jan-2025 22:10,67382489
pageviews-20250107-220000.gz,07-Jan-2025 23:04,65384563
pageviews-20250107-230000.gz,08-Jan-2025 00:03,60640888
pageviews-20250108-000000.gz,08-Jan-2025 01:02,54184599
pageviews-20250108-010000.gz,08-Jan-2025 02:01,49844109
pageviews-20250108-020000.gz,08-Jan-2025 02:51,46711217
pageviews-20250108-030000.gz,08-Jan-2025 04:00,45698167
pageviews-20250108-040000.gz,08-Jan-2025 05:02,45124025
pageviews-20250108-050000.gz,08-Jan-2025 05:50,44874991
pageviews-20250108-060000.gz,08-Jan-2025 07:00,47132810
pageviews-20250108-070000.gz,08-Jan-2025 08:06,50184212
pageviews-20250108-080000.gz,08-Jan-2025 09:06,54823785
pageviews-20250108-090000.gz,08-Jan-2025 10:06,57648617
pageviews-20250108-100000.gz,08-Jan-2025 11:07,59738055
pageviews-20250108-110000.gz,08-Jan-2025 12:00,61509983
pageviews-20250108-120000.gz,08-Jan-2025 13:02,63274689
pageviews-20250108-130000.gz,08-Jan-2025 14:01,65156625
pageviews-20250108-140000.gz,08-Jan-2025 15:02,68583179
pageviews-20250108-150000.gz,08-Jan-2025 16:01,70146388
pageviews-20250108-160000.gz,08-Jan-2025 17:01,69615305
pageviews-20250108-170000.gz,08-Jan-2025 18:02,69452263
pageviews-20250108-180000.gz,08-Jan-2025 19:01,67535750
pageviews-20250108-190000.gz,08-Jan-2025 20:01,67084983
pageviews-20250108-200000.gz,08-Jan-2025 21:01,67060263
pageviews-20250108-210000.gz,08-Jan-2025 22:01,66446751
pageviews-20250108-220000.gz,08-Jan-2025 23:02,64121816
pageviews-20250108-230000.gz,09-Jan-2025 00:02,58897196
pageviews-20250109-000000.gz,09-Jan-2025 01:01,52640451
pageviews-20250109-010000.gz,09-Jan-2025 02:17,48735451
pageviews-20250109-020000.gz,09-Jan-2025 02:56,46647633
pageviews-20250109-030000.gz,09-Jan-2025 04:00,45795738
pageviews-20250109-040000.gz,09-Jan-2025 05:01,45147505
pageviews-20250109-050000.gz,09-Jan-2025 06:00,45244721
pageviews-20250109-060000.gz,09-Jan-2025 07:00,47533273
pageviews-20250109-070000.gz,09-Jan-2025 08:01,51444650
pageviews-20250109-080000.gz,09-Jan-2025 09:00,56082808
pageviews-20250109-090000.gz,09-Jan-2025 10:02,58484538
pageviews-20250109-100000.gz,09-Jan-2025 11:02,61294431
pageviews-20250109-110000.gz,09-Jan-2025 11:56,62015661
pageviews-20250109-120000.gz,09-Jan-2025 13:00,64070900
pageviews-20250109-130000.gz,09-Jan-2025 14:13,66875886
pageviews-20250109-140000.gz,09-Jan-2025 15:02,69649826
pageviews-20250109-150000.gz,09-Jan-2025 16:01,69839507
pageviews-20250109-160000.gz,09-Jan-2025 17:01,69906634
pageviews-20250109-170000.gz,09-Jan-2025 18:01,69940813
pageviews-20250109-180000.gz,09-Jan-2025 19:00,67689034
pageviews-20250109-190000.gz,09-Jan-2025 20:11,67318217
pageviews-20250109-200000.gz,09-Jan-2025 21:01,66689040
pageviews-20250109-210000.gz,09-Jan-2025 22:01,66604967
pageviews-20250109-220000.gz,09-Jan-2025 23:01,65229073
pageviews-20250109-230000.gz,10-Jan-2025 00:00,60194747
pageviews-20250110-000000.gz,10-Jan-2025 01:00,54278406
pageviews-20250110-010000.gz,10-Jan-2025 02:00,49867915
pageviews-20250110-020000.gz,10-Jan-2025 03:00,47790901
pageviews-20250110-030000.gz,10-Jan-2025 04:00,47771368
pageviews-20250110-040000.gz,10-Jan-2025 05:00,45966977
pageviews-20250110-050000.gz,10-Jan-2025 06:02,45043635
